system,vs,pairs,system_only_correct,baseline_only_correct,mcnemar_exact_p,mcnemar_p_holm
BM25,Dense,360,3,39,5.631591193377972e-09,3.94211383536458e-08
Hybrid,Dense,360,9,9,1.0,1.0
Dense+Rerank,Dense,360,21,9,0.042773945257067694,0.2483367919921875
CRAG,Dense,360,15,5,0.04138946533203125,0.2483367919921875
Agentic,Dense,360,9,3,0.14599609375,0.43798828125
GraphRAG,Dense,360,6,15,0.0783538818359375,0.31341552734375
LightRAG,Dense,360,3,6,0.5078125,1.0
