system,n,accuracy,SUPPORTS_precision,SUPPORTS_recall,SUPPORTS_f1,SUPPORTS_support,REFUTES_precision,REFUTES_recall,REFUTES_f1,REFUTES_support,macro_f1,balanced_accuracy,json_validity_rate,invalid_outputs,accuracy_sd_repeats,accuracy_min_repeat,accuracy_max_repeat
BM25,360,0.7583333333333333,1.0,0.6419753086419753,0.7819548872180451,243,0.5735294117647058,1.0,0.7289719626168224,117,0.7554634249174337,0.8209876543209876,1.0,0,0.0,0.7583333333333333,0.7583333333333333
Dense,360,0.8583333333333333,1.0,0.7901234567901234,0.8827586206896552,243,0.6964285714285714,1.0,0.8210526315789474,117,0.8519056261343012,0.8950617283950617,1.0,0,0.0,0.8583333333333333,0.8583333333333333
Hybrid,360,0.8583333333333333,1.0,0.7901234567901234,0.8827586206896552,243,0.6964285714285714,1.0,0.8210526315789474,117,0.8519056261343012,0.8950617283950617,1.0,0,0.0,0.8583333333333333,0.8583333333333333
Dense+Rerank,360,0.8916666666666667,1.0,0.8395061728395061,0.912751677852349,243,0.75,1.0,0.8571428571428571,117,0.8849472674976031,0.9197530864197531,1.0,0,0.0,0.8916666666666667,0.8916666666666667
CRAG,360,0.8861111111111111,1.0,0.831275720164609,0.9078651685393259,243,0.740506329113924,1.0,0.8509090909090908,117,0.8793871297242084,0.9156378600823045,1.0,0,0.003928371006591969,0.8833333333333333,0.8916666666666667
Agentic,360,0.875,1.0,0.8148148148148148,0.8979591836734693,243,0.7222222222222222,1.0,0.8387096774193548,117,0.868334430546412,0.9074074074074074,1.0,0,0.0,0.875,0.875
GraphRAG,360,0.8333333333333334,1.0,0.7530864197530864,0.8591549295774648,243,0.6610169491525424,1.0,0.7959183673469388,117,0.8275366484622018,0.8765432098765432,1.0,0,0.0,0.8333333333333334,0.8333333333333334
LightRAG,360,0.85,1.0,0.7777777777777778,0.8750000000000001,243,0.6842105263157895,1.0,0.8125000000000001,117,0.8437500000000001,0.8888888888888888,1.0,0,0.0,0.85,0.85
