system,n_claims,n_repeats,doc_precision@k,doc_precision@k_ci_lo,doc_precision@k_ci_hi,doc_precision@k_sd_repeats,doc_recall@k,doc_recall@k_ci_lo,doc_recall@k_ci_hi,doc_recall@k_sd_repeats,doc_ndcg@k,doc_ndcg@k_ci_lo,doc_ndcg@k_ci_hi,doc_ndcg@k_sd_repeats,doc_mrr,doc_mrr_ci_lo,doc_mrr_ci_hi,doc_mrr_sd_repeats,sent_precision@k,sent_precision@k_ci_lo,sent_precision@k_ci_hi,sent_precision@k_sd_repeats,sent_recall@k,sent_recall@k_ci_lo,sent_recall@k_ci_hi,sent_recall@k_sd_repeats,sent_ndcg@k,sent_ndcg@k_ci_lo,sent_ndcg@k_ci_hi,sent_ndcg@k_sd_repeats,sent_mrr,sent_mrr_ci_lo,sent_mrr_ci_hi,sent_mrr_sd_repeats,evidence_precision,evidence_precision_ci_lo,evidence_precision_ci_hi,evidence_precision_sd_repeats,evidence_recall,evidence_recall_ci_lo,evidence_recall_ci_hi,evidence_recall_sd_repeats,evidence_f1,evidence_f1_ci_lo,evidence_f1_ci_hi,evidence_f1_sd_repeats,full_rationale_recovered,full_rationale_recovered_ci_lo,full_rationale_recovered_ci_hi,full_rationale_recovered_sd_repeats,verdict_correct,verdict_correct_ci_lo,verdict_correct_ci_hi,verdict_correct_sd_repeats,fever_score,fever_score_ci_lo,fever_score_ci_hi,fever_score_sd_repeats,json_valid,json_valid_ci_lo,json_valid_ci_hi,json_valid_sd_repeats
BM25,120,3,0.19666666666666674,0.18000000000000005,0.21500000000000002,0.0,0.8930555555555555,0.8347222222222223,0.9458333333333333,0.0,0.811803244369073,0.7513878678169793,0.8700320303490999,0.0,0.7856944444444445,0.721107638888889,0.8493055555555554,1.1102230246251565e-16,0.18500000000000003,0.1566666666666667,0.2133333333333334,0.0,0.5304166666666666,0.45486111111111105,0.6083333333333333,0.0,0.45900195091919915,0.391303978398905,0.5288412022548625,0.0,0.5352548315346394,0.4616007875572665,0.6094824889097495,0.0,0.525,0.45046296296296295,0.5986111111111112,0.004536092116265129,0.49916666666666665,0.42367881944444447,0.575420138888889,0.0019641855032959585,0.47056878306878314,0.4046554232804233,0.5376722883597883,0.0033410404727164016,0.65,0.5666666666666667,0.7333333333333333,0.0,0.7583333333333333,0.6833333333333333,0.8333333333333334,0.0,0.5916666666666667,0.5083333333333333,0.675,0.0,1.0,1.0,1.0,0.0
Dense,120,3,0.21833333333333338,0.2033333333333334,0.23500000000000007,0.0,0.98125,0.9541666666666667,1.0,1.1102230246251565e-16,0.9329181993300933,0.8977485993802945,0.962697658452382,0.0,0.9194444444444445,0.8777777777777779,0.9555555555555555,0.0,0.2766666666666667,0.24333333333333343,0.3116666666666667,0.0,0.7353670634920635,0.6692063492063492,0.7990282738095238,1.1102230246251565e-16,0.641190673137351,0.578617848783955,0.7005966174994422,0.0,0.6807847071909571,0.6146089203042328,0.7448179563492063,1.1102230246251565e-16,0.6287037037037037,0.5636574074074073,0.6928240740740741,0.003224163953051868,0.6658377425044092,0.596716517857143,0.7332147817460318,0.003987413635093925,0.6074260461760462,0.5460794101731602,0.6649619107744108,0.0021276169843807697,0.8,0.725,0.8666666666666667,1.1102230246251565e-16,0.8583333333333333,0.7916666666666666,0.9166666666666666,0.0,0.7416666666666667,0.6583333333333333,0.8166666666666667,0.0,1.0,1.0,1.0,0.0
Hybrid,120,3,0.21666666666666673,0.2033333333333334,0.23166666666666674,0.0,0.9833333333333333,0.9625,1.0,0.0,0.9170856605241827,0.8795721436913571,0.9509428672659868,0.0,0.8963888888888889,0.851111111111111,0.9381979166666667,1.1102230246251565e-16,0.2466666666666667,0.21666666666666673,0.2783333333333334,0.0,0.6779960317460317,0.6083417658730158,0.7468187003968252,0.0,0.5685958944232119,0.5064984629331816,0.6313889666792092,0.0,0.6064652195236651,0.5407286250995706,0.6736365131578947,0.0,0.6178703703703704,0.5510162037037037,0.684537037037037,0.002283116297395956,0.6155654761904761,0.5429263392857142,0.6866091269841269,0.0035409857733283614,0.5792412217412218,0.5157730880230881,0.6420783730158729,0.0009558651727587646,0.7722222222222221,0.6972222222222222,0.8472222222222221,0.003928371006591917,0.8583333333333333,0.7916666666666666,0.9166666666666666,0.0,0.7166666666666667,0.6333333333333333,0.8,0.0,1.0,1.0,1.0,0.0
Dense+Rerank,120,3,0.2133333333333334,0.20000000000000007,0.22833333333333342,0.0,0.9715277777777779,0.9409722222222222,0.9944444444444444,0.0,0.9075747572065112,0.8680538222646995,0.9416869706215164,0.0,0.8891666666666665,0.8433333333333333,0.9298611111111111,0.0,0.23000000000000007,0.20166666666666672,0.2583333333333334,0.0,0.6540244708994708,0.583713707010582,0.7251793154761904,0.0,0.5788877122536867,0.515260931688906,0.6431259143613638,0.0,0.6560994305939158,0.587330105029094,0.7224986340337901,0.0,0.597962962962963,0.5271747685185186,0.6657418981481481,0.0006547285010986004,0.5998578042328042,0.5281646825396825,0.672686259920635,0.0019641855032959585,0.5588570226070227,0.49378296356421353,0.6225532407407408,0.001262794601572734,0.75,0.6666666666666666,0.825,0.0,0.8916666666666667,0.8333333333333334,0.9416666666666667,0.0,0.675,0.5916666666666667,0.7583333333333333,1.1102230246251565e-16,1.0,1.0,1.0,0.0
CRAG,120,3,0.21777777777777782,0.2033333333333334,0.23500000000000007,0.0007856742013183911,0.9784722222222222,0.9513888888888888,0.9979166666666667,0.003928371006591917,0.9432944308666453,0.9102659581848853,0.9705186948120965,0.0035541889767028625,0.9351851851851852,0.8981481481481481,0.9671296296296296,0.00346449758034623,0.2838888888888889,0.25166666666666676,0.3166666666666667,0.0028327886186626547,0.7524966931216931,0.6882599206349207,0.8122227182539683,0.003689207743173373,0.6698140000412541,0.60874276856633,0.7271644554542411,0.0019260893989911162,0.7139102076998555,0.6470611334063164,0.7752698407766884,0.0006088442395361255,0.6439814814814814,0.5796296296296296,0.7064872685185185,0.004179506964182395,0.6850121252204585,0.6163144841269841,0.750437748015873,0.003737707205179922,0.6231890331890332,0.5641346951659452,0.6798354677729678,0.0038195986108842056,0.8194444444444445,0.7472222222222222,0.8833333333333333,0.003928371006591917,0.8861111111111112,0.8277777777777778,0.9361111111111112,0.003928371006591969,0.7555555555555554,0.6777777777777777,0.8277777777777778,0.003928371006591917,1.0,1.0,1.0,0.0
Agentic,120,3,0.21833333333333338,0.2033333333333334,0.23500000000000007,0.0,0.98125,0.9541666666666667,1.0,1.1102230246251565e-16,0.9330020053497525,0.8987278864140181,0.9625167730955699,0.0017641741833346633,0.919675925925926,0.8798611111111111,0.9555555555555556,0.0023606571822189244,0.2888888888888889,0.2572222222222223,0.3216666666666667,0.0007856742013184043,0.7747189153439155,0.7114769345238094,0.8347222222222221,0.001732248790173105,0.6610302840530647,0.6020427553214646,0.7164333763079345,0.0013410125087099628,0.6812203124974865,0.6159783653343436,0.7442008533812201,0.0033358529619071722,0.6472222222222221,0.5844907407407407,0.7081018518518519,0.006539095783252586,0.704456569664903,0.6389933035714285,0.7684413580246914,0.005626105964197427,0.6347498797498797,0.5770989057239059,0.6903589466089465,0.004409482221155383,0.8361111111111111,0.7666666666666667,0.9,0.003928371006591917,0.875,0.8166666666666667,0.9333333333333333,0.0,0.775,0.7,0.85,0.0,1.0,1.0,1.0,0.0
GraphRAG,120,3,0.2083333333333334,0.19166666666666674,0.2266666666666667,0.0,0.9368055555555554,0.8895833333333333,0.975,0.0,0.9060074986454001,0.8575157315999576,0.9484536379154198,1.1102230246251565e-16,0.9006944444444444,0.8493055555555556,0.9458333333333333,0.0,0.265,0.23166666666666672,0.30000000000000004,0.0,0.6877976190476189,0.6156448412698412,0.7577100694444444,0.0,0.6110806016581667,0.5445714910137269,0.6759696606060198,0.0,0.6535654156817479,0.5831175850952909,0.7227731376367069,0.0,0.6152777777777777,0.5472222222222223,0.6819444444444444,0.000567011514533141,0.6347420634920635,0.5630753968253968,0.706686507936508,0.00428084305761733,0.5862800625300627,0.5233960437710439,0.6480736682299183,0.0024667804966936454,0.763888888888889,0.6833333333333333,0.8388888888888888,0.00392837100659197,0.8333333333333334,0.7666666666666667,0.9,0.0,0.7,0.6166666666666667,0.7833333333333333,1.1102230246251565e-16,1.0,1.0,1.0,0.0
LightRAG,120,3,0.21666666666666673,0.20166666666666672,0.2333333333333334,0.0,0.9729166666666667,0.9416666666666667,0.9979166666666667,1.1102230246251565e-16,0.9329181993300933,0.8952857493340939,0.9650339785590277,0.0,0.9222222222222222,0.8791666666666667,0.9597222222222221,1.1102230246251565e-16,0.27666666666666667,0.24333333333333337,0.3116666666666667,0.0,0.7305059523809523,0.6626763392857143,0.7954188988095238,0.0,0.6413309407719836,0.5776468653264596,0.702069533105098,0.0,0.6802034440200507,0.612059274719989,0.7445004985525172,9.110322371533855e-06,0.63125,0.5643518518518519,0.6958391203703702,0.010393492741038738,0.6557297178130511,0.5849839065255732,0.7256641038359789,0.0016102343174929589,0.6060257335257335,0.5432190355940355,0.6663683712121212,0.006618363704302079,0.7833333333333333,0.7083333333333334,0.8583333333333333,0.0,0.85,0.7833333333333333,0.9083333333333333,0.0,0.7333333333333333,0.65,0.8083333333333333,0.0,1.0,1.0,1.0,0.0
