system,n_measurements,latency_mean_ms,latency_median_ms,latency_sd_ms,latency_p95_ms,retrieval_ms_mean,generation_ms_mean,llm_ms_mean,llm_calls_mean,prompt_tokens_mean,output_tokens_mean,thinking_tokens_mean,est_cost_usd_per_query,calls_by_stage_mean
BM25,351,896.5646723646722,877.8,149.2037096622057,1119.6,6.808831908831908,889.7552706552706,889.6498575498576,1.0,378.96581196581195,92.13105413105413,0.0,0.0,"{""generation"": 1.0}"
Dense,351,950.5452991452992,926.5,238.99158436913086,1142.65,9.521652421652421,941.0179487179487,940.8997150997151,1.0,405.0854700854701,101.98005698005699,0.0,0.0,"{""generation"": 1.0}"
Hybrid,351,929.0720797720797,914.0,181.432799416059,1157.65,17.78205128205128,911.2863247863248,911.1601139601138,1.0,397.22222222222223,98.13390313390313,0.0,0.0,"{""generation"": 1.0}"
Dense+Rerank,351,973.9108262108263,954.1,179.3787705137643,1212.25,52.04301994301996,921.8666666666667,921.7492877492878,1.0,396.4102564102564,98.98005698005699,0.0,0.0,"{""generation"": 1.0}"
CRAG,351,2317.9903133903135,2378.2,489.9406160723257,2868.0,1384.6672364672363,933.3219373219373,2302.303703703704,2.572649572649573,837.6581196581196,245.97435897435898,0.0,0.0,"{""crag_evaluate"": 1.0, ""crag_reformulate"": 0.573, ""generation"": 1.0}"
Agentic,351,2956.3618233618236,2435.2,1180.2451077012208,4614.299999999999,2015.8752136752134,940.4866096866098,2926.0216524216526,2.9458689458689458,1350.991452991453,323.4017094017094,0.0,0.0,"{""agent_controller"": 1.946, ""generation"": 1.0}"
GraphRAG,351,949.6213675213676,937.0,119.35244960971194,1167.1,22.049287749287753,927.5746438746437,927.446153846154,1.0,406.4871794871795,103.29344729344729,0.0,0.0,"{""generation"": 1.0}"
LightRAG,351,1743.883190883191,1721.3,242.0123345783741,2061.2,821.823076923077,922.0575498575499,1705.5507122507124,2.0,512.8433048433048,171.13960113960113,0.0,0.0,"{""generation"": 1.0, ""lightrag_keywords"": 1.0}"
